ANNIE Lat,ANNIE Long,LEAH Lat,LEAH Long,MELANY Lat,MELANY Long,MONIQUE Lat,MONIQUE Long,prOphecy Lat,prOphecy Long
49.28026,-123.09982,49.27856,-123.10222,49.28026,-123.09983,49.27758,-123.10174,49.27892,-123.09673
49.28028,-123.09982,49.27855,-123.10224,49.28028,-123.09983,49.27758,-123.10175,49.27892,-123.09673
49.28029,-123.09984,49.27854,-123.10225,49.2803,-123.09985,49.27758,-123.10177,49.27894,-123.09673
49.28031,-123.09984,49.27853,-123.10226,49.28031,-123.09988,49.27758,-123.10179,49.27895,-123.09673
49.28033,-123.09985,49.27852,-123.10227,49.28033,-123.0999,49.27757,-123.10182,49.27897,-123.09673
49.28033,-123.09986,49.2785,-123.10226,49.28035,-123.09991,49.27757,-123.10185,49.27898,-123.09673
49.28033,-123.09989,49.27848,-123.10226,49.28035,-123.09993,49.27757,-123.10188,49.27899,-123.09673
49.28034,-123.0999,49.27847,-123.10226,49.28036,-123.09995,49.27757,-123.1019,49.279,-123.09672
49.28034,-123.09991,49.27845,-123.10225,49.28037,-123.09996,49.27756,-123.10193,49.27902,-123.09672
49.28035,-123.09993,49.27844,-123.10225,49.28038,-123.09998,49.27755,-123.10195,49.27904,-123.09672
49.28035,-123.09994,49.27843,-123.10225,49.28039,-123.09999,49.27754,-123.10197,49.27906,-123.09672
49.28036,-123.09997,49.27843,-123.10225,49.2804,-123.10001,49.27754,-123.102,49.27908,-123.09673
49.28036,-123.09999,49.27842,-123.10225,49.2804,-123.10003,49.27753,-123.10202,49.27909,-123.09675
49.28036,-123.10001,49.27842,-123.10224,49.2804,-123.10004,49.27753,-123.10203,49.2791,-123.09677
49.28037,-123.10002,49.27842,-123.10224,49.2804,-123.10005,49.27753,-123.10203,49.27911,-123.09676
49.28037,-123.10004,49.27842,-123.10224,49.28041,-123.10006,49.27753,-123.10205,49.27912,-123.09679
49.28037,-123.10007,49.27843,-123.10225,49.28041,-123.10008,49.27753,-123.10204,49.27914,-123.09682
49.28036,-123.10009,49.27843,-123.10225,49.28041,-123.1001,49.27752,-123.10204,49.27916,-123.09684
49.28035,-123.10011,49.27843,-123.10226,49.2804,-123.10013,49.27752,-123.10205,49.27916,-123.09685
49.28034,-123.10013,49.27843,-123.10227,49.2804,-123.10014,49.27752,-123.10205,49.27917,-123.09687
49.28034,-123.10015,49.27843,-123.10228,49.2804,-123.10015,49.27752,-123.10205,49.27917,-123.09689
49.28034,-123.10016,49.27843,-123.1023,49.28039,-123.10018,49.27753,-123.10205,49.27916,-123.09689
49.28034,-123.10018,49.27843,-123.10231,49.28039,-123.1002,49.27753,-123.10205,49.27916,-123.09689
49.28033,-123.10021,49.27844,-123.10232,49.28039,-123.1002,49.27753,-123.10205,49.27916,-123.09689
49.28034,-123.10022,49.27845,-123.10233,49.28039,-123.10022,49.27753,-123.10205,49.27916,-123.09689
49.28034,-123.10025,49.27846,-123.10235,49.28039,-123.10023,49.27753,-123.10206,49.27916,-123.09689
49.28034,-123.10026,49.27847,-123.10236,49.28039,-123.10025,49.27754,-123.10207,49.27916,-123.09689
49.28035,-123.10028,49.27848,-123.10237,49.28039,-123.10027,49.27754,-123.10211,49.27916,-123.09689
